Titulo,Artista,Album,Género,Año,Ruta
Fractures,Illenium,Fractures (feat. Nevve),2017,Elektro,E:\Música\Sad\01 Illenium - Fractures (feat. Nevve).mp3
Let Me Down Slowly,Alec Benjamin,Let Me Down Slowly,2018,(13)Pop,E:\Música\Sad\01 Let Me Down Slowly - Alec Benjamin.mp3
Careless,Neffex,Careless,2017,Vaihtoehtoinen,E:\Música\Sad\01 Neffex - Careless.mp3
Destiny,Neffex,Destiny,2017,Elektro,E:\Música\Sad\01 Neffex - Destiny.mp3
Fight Back,Neffex,Fight Back: The Collection,2018,Rap/Hip Hop,E:\Música\Sad\01 Neffex - Fight Back.mp3
Pull Me Apart,Neffex,Pull Me Apart,2019,(159)Electro,E:\Música\Sad\01 Neffex - Pull Me Apart.mp3
Rumors,Neffex,Rumors,2017,(20)Alternative,E:\Música\Sad\01 Neffex - Rumors.mp3
Willow Tree,Rival,Willow Tree,2018,(159)Electro,E:\Música\Sad\01 Rival - Willow Tree.mp3
Save Myself,Ashe,Save Myself,,,E:\Música\Sad\01 Save Myself - Ashe.mp3
Sing to You,Rew,Sing to You,2018,Elektro,E:\Música\Sad\01 SIng You - Rew.mp3
Fearless,Lost Sky,Fearless,2017,Elektro,E:\Música\Sad\01 Tule - Fearless.mp3
ugly,Timmies,Ekena,2019,Vaihtoehtoinen,E:\Música\Sad\01 ugly - Timies.mp3
Waves,Dean Lewis,Waves,2016,Singer & Songwriter,E:\Música\Sad\01 Waves - Dean Lewis.mp3
you broke me first,Tate McRae,you broke me first,,,E:\Música\Sad\01 you broke me first - Tate McRae.mp3
Zombie (feat. Ane Flem),Albert Vishi,Zombie (feat. Ane Flem),,,E:\Música\Sad\01 Zombie (feat. Ane Flem) - Albert Vishi.mp3
Stitches,Shawn Mendes,Handwritten (Revisited),2015,(13)Pop,E:\Música\Sad\02 Shawn Mendes - Stitches.mp3
Dance Monkey,Tones and I,The Kids Are Coming,2019,(20)Alternative,E:\Música\Sad\02 Tones and I - Dance Monkey.mp3
Hymn for the Weekend,Coldplay,A Head Full of Dreams,2015,(20)Alternative,E:\Música\Sad\03 Coldplay - Hymn for the Weekend.mp3
Paradise,Coldplay,Mylo Xyloto,2011,(17)Rock,E:\Música\Sad\03 Coldplay - Paradise.mp3
Sweater Weather,The Neighbourhood,I Love You.,2013,(20)Alternative,E:\Música\Sad\04 The Neighbourhood - Sweater Weather.mp3.mp3
Do It All for You,Alan Walker,Different World,2018,Elektro,E:\Música\Sad\06 Alan Walker - Do It All for You.mp3
Changes,Hayd,pov: ur crying in bed,,,E:\Música\Sad\06 Changes - Hayd.mp3
Malibu (Alan Walker Remix),Miley Cyrus,Malibu (The Remixes),2017,(13)Pop,E:\Música\Sad\06 Miley Cyrus - Malibu (Alan Walker Remix).mp3
Viva La Vida,Coldplay,Viva La Vida (Prospekt's March Edition),2008,(17)Rock,E:\Música\Sad\07 Coldplay - Viva La Vida.mp3
OK (feat. James Blunt),Robin Schulz,Uncovered,2017,(3)Dance,E:\Música\Sad\07 Robin Schulz - OK (feat. James Blunt).mp3
NUMB,Xxxtentacion,?,2018,(13)Pop,E:\Música\Sad\07 Xxxtentacion - NUMB.mp3
Bye Bye,Gryffin,Gravity,2019,(3)Dance,E:\Música\Sad\08 Gryffin - Bye Bye.mp3
My Girl (feat. Shiloh Dynasty),89ine,Permanent Vacation (Deluxe),,,E:\Música\Sad\09 My Girl (feat. Shiloh Dynasty) - 89ine.mp3
Luna,ZOE,Reptilectric,2008,(17)Rock,E:\Música\Sad\09 ZOE - Luna.mp3
Heather,Conan Gray,Simp No More,,,E:\Música\Sad\17 Heather - Conan Gray.mp3
Fake A Smile,Alan Walker,Fake A Smile,,,E:\Música\Sad\Alan Walker - Fake A Smile.mp3
Heading Home,Alan Walker,Heading Home,,,E:\Música\Sad\Alan Walker - Heading Home.mp3
The Awakening,Alan Walker,The Awakening (Alan Walker Remix),2021,Electro,E:\Música\Sad\Alan Walker - The Awakening (Alan Walker Remix).mp3.mp3
Bad Things,Alison Wonderland,Bad Things,,,E:\Música\Sad\Alison Wonderland - Bad Things.mp3
Runaway,AURORA,Runaway,,(53)Pop-Folk,E:\Música\Sad\AURORA - Runaway.mp3
Feels Like a Dream,Awakend,Feels Like a Dream,,,E:\Música\Sad\Awakend - Feels Like a Dream.mp3
Message From The Stars,Awakend,Message From The Stars,,,E:\Música\Sad\Awakend - Message From The Stars.mp3.mp3
bad idea,89ine,permanent vacation,,,E:\Música\Sad\bad idea - 89ine.mp3
Be Alright,Dean Lewis,Be Alright,2018,Singer & Songwriter,E:\Música\Sad\Be Alright - Den Lewis.mp3
Before You Go,Lewis Capaldi,Before You Go,,,E:\Música\Sad\Before You Go - Lewis Capaldi.mp3
Toxic,BoyWithUke,Faded,,,E:\Música\Sad\BoyWithUke - Toxic.mp3.mp3
Pokemon Ü,Broderick Jones,Pokemon Ü,,,E:\Música\Sad\Broderick Jones - Pokemon Ü.mp3
Gathering Coven,Caster,Gathering Coven,2020,Electro,E:\Música\Sad\Caster - Gathering Coven.mp3
4AM,Jubel,Strawtown,,,E:\Música\Sad\Jubel - 4AM.mp3
No Te Enamores (Alan Walker Remix),Milly,No Te Enamores (Alan Walker Remix),,,E:\Música\Sad\Milly - No Te Enamores (Alan Walker Remix).mp3
death bed (coffee for your head),Powfu,death bed (coffee for your head),,,E:\Música\Sad\Powfu - death bed (coffee for your head).mp3
Goodbye,Skan,Goodbye,2020,Arabic Trap,E:\Música\Sad\Skan - Goodbye.mp3
Over the Horizon,Samsung,Over The Horizon (2012),,New Age,E:\Música\Samsung\Over the Horizon (2012).mp3
Over the Horizon,Samsung,Over the Horizon (2013 2014),,Symphony Rock,E:\Música\Samsung\Over the Horizon (2014).mp3
Over the Horizon,Samsung,Over The Horizon (2019),,Classical Crossover,E:\Música\Samsung\Over the Horizon (2019).mp3
Over the Horizon,Samsung,Over the horizon (2020),,Cinematic New Age,E:\Música\Samsung\Over the Horizon (2020).mp3
Over the Horizon,Samsung,Brand Music 2021,,Neo Classic,E:\Música\Samsung\Over_the_Horizon.mp3
American Idiot,Green Day,American Idiot (Deluxe),2004,(20)Alternative,E:\Música\Telegram\01 Green Day - American Idiot.mp3
Father of All...,Green Day,Father of All...,2019,(20)Alternative,E:\Música\Telegram\01 Green Day - Father of All....mp3
Ritual (feat. Wrabel),Marshmello,Ritual (feat. Wrabel),2016,(3)Dance,E:\Música\Telegram\01 Marshmello - Ritual (feat. Wrabel).mp3
Hold On & Believe,Martin Garrix,Hold On & Believe,2016,(159)Electro,E:\Música\Telegram\01 Martin Garrix - Hold On & Believe.mp3
Friendzoned (feat. Mixie Moon & MC Offside),S3RL,Friendzoned (feat. Mixie Moon & MC Offside),2013,(3)Dance,E:\Música\Telegram\01 S3RL - Friendzoned (feat. Mixie Moon & MC Offside).mp3
Stronger,TheFatRat,Stronger,2019,Elektro,E:\Música\Telegram\01 TheFatRat - Stronger.mp3
01,女王蜂,01,2023,Rock,E:\Música\Telegram\01. 01.flac
ラブコール,シユイ,ラブコール,2024,Anime,E:\Música\Telegram\01. ラブコール.flac
Rockefeller Street (New Nightcore) [#Rockefellerstreet Remix],Getter Jaani,Rockefeller Street (New Nightcore) [#Rockefellerstreet Remix],2018,(13)Pop,E:\Música\Telegram\01_Getter_Jaani_Rockefeller_Street.mp3
Me Voy,Julieta Venegas,Limon Y Sal,2006,(13)Pop,E:\Música\Telegram\02 Julieta Venegas - Me Voy.mp3
Another One Bites The Dust (Remastered 2011),Queen,The Game (2011 Remaster),2011,(17)Rock,E:\Música\Telegram\03 Queen - Another One Bites The Dust (Remastered 2011).mp3
Feel Good Inc.,Gorillaz,Demon Days,2005,Rap/Hip Hop,E:\Música\Telegram\06 Gorillaz - Feel Good Inc..mp3
Bohemian Rhapsody (2011 Remaster),Queen,Bohemian Rhapsody (The Original Soundtrack),2018,Elokuvat/Pelit,E:\Música\Telegram\07 Queen - Bohemian Rhapsody (2011 Remaster).mp3
Aoi,sakanaction,sakanaction,,Rock,E:\Música\Telegram\08 Aoi.flac
The Rhythm of the Night,Corona,The Rhythm of the Night,1995,(159)Electro,E:\Música\Telegram\08 Corona - The Rhythm of the Night.mp3
PA PA YA!!,BABYMETAL feat. F.HERO,10 BABYMETAL YEARS,,Hard Rock & Metal,E:\Música\Telegram\10 PA PA YA!!.flac
Sunny,ヨルシカ,Sunny,2024-01-05,Alternative,E:\Música\Telegram\829907035.mp3
Show,Ado,Show,,,E:\Música\Telegram\Ado - Show (1).mp3
Akiba Nights,Project Skylate  Sugar Shrill,Akiba Night,2017,,E:\Música\Telegram\Akiba Nights - Project Skylate.mp3
Delusion,Andora,Delusion,2021-05-15,Asian Music,E:\Música\Telegram\Andora - Delusion.flac
Echo,Andora  梓川,Echo,2025-01-24,Asian Music,E:\Música\Telegram\Andora - Echo.flac
Euphoria,Andora,Euphoria,2021-12-03,Asian Music,E:\Música\Telegram\Andora - Euphoria.flac
Flicker,Andora,Flicker,2022-03-25,Asian Music,E:\Música\Telegram\Andora - Flicker.flac
Pop It,Andora,Pop It,2023-03-03,Азиатская музыка,E:\Música\Telegram\Andora - Pop It.flac
Utopia,Andora,Utopia,2023-06-23,Asian Music,E:\Música\Telegram\Andora - Utopia.flac
98 Degrees,Arrested Youth,98 Degrees,,,E:\Música\Telegram\Arrested Youth - 98 Degrees.mp3
Brightside,Arrested Youth,Brightside,,,E:\Música\Telegram\Arrested Youth - Brightside.mp3
Dig,Arrested Youth,Sobville (Episode I),,,E:\Música\Telegram\Arrested Youth - Dig.mp3
Full Moon Full Life,Azumi Takahashi,Persona 3 Reload Original Soundtrack,2024-04-24,Films/Games,E:\Música\Telegram\ATLUS GAME MUSIC - Full Moon Full Life.mp3
It’s Going Down Now,Azumi Takahashi,Persona 3 Reload Original Soundtrack,2024-04-24,Films/Games,E:\Música\Telegram\ATLUS GAME MUSIC - It s Going Down Now.mp3
Mistic (P3R ver.),ATLUS Sound Team,Persona 3 Reload Original Soundtrack,2024-04-24,Films/Games,E:\Música\Telegram\ATLUS GAME MUSIC - Mistic (P3R ver.).mp3
The Four Seasons (Concerti Op.8 Nos.1-4) Spring (La Primavera) Op.8 No.1 E Major: Allegro,Baroque Festival Orchestra,Vivaldi - The Four Seasons,,,E:\Música\Telegram\Baroque Festival Orchestra - The Four Seasons (Concerti Op.8.mp3
Boi (feat. 可不),ポリスピカデリー,結晶のアシンメトリー,2022,,E:\Música\Telegram\Boi_ポリスピカデリー_feat_可不_Police_Piccadilly.mp3
Livin' On A Prayer,Bon Jovi,Slippery When Wet,,,E:\Música\Telegram\Bon Jovi - Livin  On A Prayer.mp3
You Give Love A Bad Name,Bon Jovi,Bon Jovi Greatest Hits - The Ultimate Collection (Deluxe),,,E:\Música\Telegram\Bon Jovi - You Give Love A Bad Name.mp3
AImee (feat. Aitsuki Nakuru),C-Show,FÜGENE,2017-04-30,,E:\Música\Telegram\C-Show - AImee (feat. Aitsuki Nakuru).flac
Aurora (feat. MVRLY),Chiru-san/ MVRLY,Aurora (feat. MVRLY),2023-10-22,Electro,E:\Música\Telegram\Chiru-san - Aurora (feat. MVRLY).flac
Ayumi,Chiru-san,Ayumi,,,E:\Música\Telegram\Chiru-san - Ayumi.mp3
Bloom,Chiru-san,Bloom,,,E:\Música\Telegram\Chiru-san - Bloom.mp3
Butterfly,Chiru-san,Butterfly,2024-09-29,Electro,E:\Música\Telegram\Chiru-san - Butterfly.flac
Cherry,Chiru-san,Cherry,,,E:\Música\Telegram\Chiru-san - Cherry.mp3
Dystopia,Chiru-san,Dystopia,2024-10-14,Electro,E:\Música\Telegram\Chiru-san - Dystopia.flac
Forsaken,Chiru-san,Ghost,,,E:\Música\Telegram\Chiru-san - Forsaken.mp3
Ghost,Chiru-san,Ghost,2023-10-29,Electro,E:\Música\Telegram\Chiru-san - Ghost.flac
Hiraeth,Chiru-san,Hiraeth,2023-11-12,Electro,E:\Música\Telegram\Chiru-san - Hiraeth.flac
Possibility Space,Chiru-san,Possibility Space,2023-09-09,Electro,E:\Música\Telegram\Chiru-san - Possibility Space.flac
Restart,Chiru-san,Ghost,,,E:\Música\Telegram\Chiru-san - Restart.mp3
Strawberry,Chiru-san,Strawberry,2024-11-10,Electro,E:\Música\Telegram\Chiru-san - Strawberry.flac
Daten,Creepy Nuts,Ensemble Play,,,E:\Música\Telegram\Creepy Nuts - Daten.mp3
Gohotekitobikatanosusume,Creepy Nuts,INDIES COMPLETE,,,E:\Música\Telegram\Creepy Nuts - Gohotekitobikatanosusume.mp3
Otonoke,Creepy Nuts,Otonoke,,,E:\Música\Telegram\Creepy Nuts - Otonoke.mp3
Yofukashino Uta,Creepy Nuts,Yofukashino Uta,,,E:\Música\Telegram\Creepy Nuts - Yofukashino Uta.mp3
Apotheosic,Dakku,Hysteria,2023-12-22,Electro,E:\Música\Telegram\Dakku - Apotheosic.flac
Aura,Dakku,Aura,2024-10-04,Electro,E:\Música\Telegram\Dakku - Aura.flac
Ephemeral,Dakku,Ephemeral,2023-06-26,Electro,E:\Música\Telegram\Dakku - Ephemeral.flac
Healing,Dakku,Healing,2022-11-30,Dance,E:\Música\Telegram\Dakku - Healing.flac
Hysteria,Dakku,Hysteria,2023-12-22,Electro,E:\Música\Telegram\Dakku - Hysteria.flac
Incandescent,Dakku,Hysteria,2023-12-22,Electro,E:\Música\Telegram\Dakku - Incandescent.flac
Poison,Dakku,Poison,2025-02-28,Электронная музыка,E:\Música\Telegram\Dakku - Poison.flac
Dark Flight Dreamer,ALiCE'S EMOTiON,Dark Flight Dreamer,2014,,E:\Música\Telegram\Dark Flight Dreamer - ALiCE S EMOTiON.mp3
Mi tonto amor,Dianey Hoyos,Mi tonto amor,,,E:\Música\Telegram\Dianey Hoyos - Mi tonto amor.mp3
Cake,Diwas Malla,Cake,,,E:\Música\Telegram\Diwas Malla - Cake.mp3
Turn It Up (feat. Kanae Asaba),Dj Noriken,FÜGENE,2017-04-30,,E:\Música\Telegram\Dj Noriken - Turn It Up (feat. Kanae Asaba).flac
Independence,Elza Kanzaki,ELZA,2018-07-04,Films/Games,E:\Música\Telegram\Elza Kanzaki - Independence.flac
Harunotonari,Eri Sasaki,Colon,,,E:\Música\Telegram\Eri Sasaki - Harunotonari.mp3
No Heroes (feat. Luciana),Firebeatz,No Heroes (feat. Luciana),,,E:\Música\Telegram\Firebeatz - No Heroes (feat. Luciana).mp3
Good Feeling,Flo Rida,Good Feeling,2011-08-29,Rap/Hip Hop,E:\Música\Telegram\Flo Rida - Good Feeling.flac
Whistle,Flo Rida,Whistle,2012-04-24,Rap/Hip Hop,E:\Música\Telegram\Flo Rida - Whistle.flac
Sunsets,Scin,FREE MUSIC - Live Life With Music,,,E:\Música\Telegram\Freemusica.mp3
Let You Go,Geoxor & Dritic,Let You Go,,Melodic Dubstep,E:\Música\Telegram\Geoxor & Dritic - Let You Go.flac
Faerie,Geoxor,Faerie,,,E:\Música\Telegram\Geoxor - Faerie.mp3
I Like You,Geoxor,I Like You,2023-01-20,Electro,E:\Música\Telegram\Geoxor - I Like You.flac
I'm Here,Geoxor,I'm Here,,,E:\Música\Telegram\Geoxor - I m Here.mp3
Silverdust,Geoxor,Silverdust,,,E:\Música\Telegram\Geoxor - Silverdust.mp3
Tumbling (feat. Renko),Getty,FÜGENE,2017-04-30,,E:\Música\Telegram\Getty - Tumbling (feat. Renko).flac
Sabaku,Hello Sleepwalkers,Masked Monkey Awakening,,,E:\Música\Telegram\Hello Sleepwalkers - Sabaku.mp3
Shinwa Houkai,Hello Sleepwalkers,Planless Perfection,,,E:\Música\Telegram\Hello Sleepwalkers - Shinwa Houkai.mp3
From Hell to Here,Himalayas,From Hell to Here,2023-05-12,Rock,E:\Música\Telegram\Himalayas - From Hell to Here.mp3
more than words,Hitsujibungaku,more than words,2023,Rock,E:\Música\Telegram\Hitsujibungaku - more than words.mp3
Rebirth,Hookington  Chiru-san,Rebirth,2025-02-07,Electro,E:\Música\Telegram\Hookington - Rebirth.flac
Ruby,Kaiser Chiefs,Yours Truly  Angry Mob (Deluxe),,,E:\Música\Telegram\Kaiser Chiefs - Ruby.mp3
Hellfire,Kanro,Hellfire,2024-02-03,Electro,E:\Música\Telegram\Kanro - Hellfire.flac
Shrine,Kanro,Shrine,2024-01-08,Electro,E:\Música\Telegram\Kanro - Shrine.flac
Far Away from Home,Kawaii Lilly,Far Away from Home,2022,Music,E:\Música\Telegram\Kawaii Lilly - Far Away from Home.mp3
To the Moon and Back (Kawaii Vocal Version),Kawaii Lilly,To the Moon and Back (Kawaii Vocal Version),,,E:\Música\Telegram\Kawaii Lilly - To the Moon and Back (Kawaii Vocal Version).mp3
To the Moon and Back (Wap-papara Version),Kawaii Lilly,To the Moon and Back (Wap-papara Version),,,E:\Música\Telegram\Kawaii Lilly - To the Moon and Back (Wap-papara Version).mp3
Darling,Keina Suda,Ghost Pop,2023-05-24,Asian Music,E:\Música\Telegram\Keina Suda - Darling.flac
Kumowokou,Keina Suda,Ghost Pop,2023-05-24,Asian Music,E:\Música\Telegram\Keina Suda - Kumowokou.flac
Mellow,Keina Suda,Ghost Pop,2023-05-24,Aziatische Muziek,E:\Música\Telegram\Keina Suda - Mellow.flac
Pareidolia,Keina Suda,teeter,2019-01-23,Азиатская музыка,E:\Música\Telegram\Keina Suda - Pareidolia.flac
veil,Keina Suda,Porte,2019-08-21,Asian Music,E:\Música\Telegram\Keina Suda - veil.flac
SPECIALZ,King Gnu,SPECIALZ,,,E:\Música\Telegram\King Gnu - SPECIALZ.mp3
Dear. (feat. Yukacco),KO3,FÜGENE,2017-04-30,,E:\Música\Telegram\KO3 - Dear. (feat. Yukacco).flac
BRAND NEW DAY (feat. Numb'n'dub),lapix,FÜGENE,2017-04-30,,E:\Música\Telegram\lapix - BRAND NEW DAY (feat. Numb'n'dub).flac
Party Rock Anthem,LMFAO,Sorry For Party Rocking,2011-01-01,Pop,E:\Música\Telegram\LMFAO - Party Rock Anthem.flac
Sexy And I Know It,LMFAO,Sorry For Party Rocking,2011-01-01,Pop,E:\Música\Telegram\LMFAO - Sexy And I Know It.flac
Animals,Martin Garrix,Animals,2013-06-17,Electro,E:\Música\Telegram\Martin Garrix - Animals.flac
Sayonara Elegy,Masaki Suda,Play,,,E:\Música\Telegram\Masaki Suda - Sayonara Elegy.mp3
The Day That Never Comes,Metallica,Death Magnetic,,,E:\Música\Telegram\Metallica - The Day That Never Comes.mp3
Arcadia Bae,Mitomoro,FÜGENE,2017-04-30,,E:\Música\Telegram\Mitomoro - Arcadia Bae.flac
Replica,mol-74,Replica,,,E:\Música\Telegram\mol-74 - Replica.mp3
Mahou,Myuk,Mahou,,,E:\Música\Telegram\Myuk - Mahou.mp3
,,,,,E:\Música\Telegram\Nanchitte_BACK_TO_THE_LIVE_HOUSE_TOUR_2023_Live_at_Zepp_Haneda_TOKYO.flac
無人区-Vacuum Track#ADD8E6-,NoKANY,,,,E:\Música\Telegram\NoKANY - 無人区-Vacuum Track#ADD8E6-.mp3
Last Dance,ONE OK ROCK,35xxxv (Deluxe Edition),,,E:\Música\Telegram\ONE OK ROCK - Last Dance.mp3
Hey Baby (Drop It to the Floor) (feat. T-Pain),Pitbull/ T-Pain,Hey Baby (Drop It to the Floor) (feat. T-Pain),2010-09-17,Dance,E:\Música\Telegram\Pitbull - Hey Baby (Drop It to the Floor) (feat. T-Pain).flac
Hotel Room Service,Pitbull,Hotel Room Service,2009-06-11,Dance,E:\Música\Telegram\Pitbull - Hotel Room Service.flac
Apex,poixone,Apex,,,E:\Música\Telegram\poixone - Apex.mp3
Voidwalker,poixone,Voidwalker,,,E:\Música\Telegram\poixone - Voidwalker.mp3
Palm Karuma (feat. Zero Aimiya),Police Piccadilly,KAGEROU Relation CHUNITHM Original Sound Track,2020-12-26,Asian Music,E:\Música\Telegram\Police Piccadilly - Palm Karuma (feat. Zero Aimiya).flac
ルーマー (feat. GUMI),ポリスピカデリー,GUMIFUL!,,,E:\Música\Telegram\Police Piccadilly - Rumor.mp3
Cheerleader,Porter Robinson,Cheerleader,2024-03-20,Alternative,E:\Música\Telegram\Porter Robinson - Cheerleader.flac
Genesis,Project Skylate,Genesis,2022-11-12,Electro,E:\Música\Telegram\Project Skylate - Genesis.flac
Reality,Project Skylate,Reality,2023-04-23,Electro,E:\Música\Telegram\Project Skylate - Reality.flac
Ryokucha,Project Skylate,Ryokucha,2021-08-06,Electro,E:\Música\Telegram\Project Skylate - Ryokucha.flac
Your voice so... (feat. such),PSYQUI,FÜGENE,2017-04-30,,E:\Música\Telegram\PSYQUI - Your voice so... (feat. such).flac
Killer Queen (2011 Mix),Queen,Bohemian Rhapsody (The Original Soundtrack),,,E:\Música\Telegram\Queen - Killer Queen (2011 Mix).mp3
Futarigoto,RADWIMPS,Futarigoto,2020,Rock,E:\Música\Telegram\RADWIMPS - Futarigoto.mp3
Iindesuka?,RADWIMPS,Radwimps 4 -Okazu No Gohan-,,,E:\Música\Telegram\RADWIMPS - Iindesuka.mp3
KANASHIBARI,RADWIMPS,KANASHIBARI,,,E:\Música\Telegram\Radwimps - KANASHIBARI.mp3
Kimi to Hitsuji to Ao,RADWIMPS,Zettaizetsumei,,,E:\Música\Telegram\RADWIMPS - Kimi to Hitsuji to Ao.mp3
Okoshite,RADWIMPS,Radwimps 4 -Okazu No Gohan-,,,E:\Música\Telegram\RADWIMPS - Okoshite.mp3
Otogi,RADWIMPS,Radwimps 3 -Mujintou Ni Motteikiwasureta Ichimai-,2014,Rock,E:\Música\Telegram\RADWIMPS - Otogi.mp3
Pai,RADWIMPS,Zettaizetsumei,,,E:\Música\Telegram\RADWIMPS - Pai.mp3
Saidai Kouyakusuu,RADWIMPS,Radwimps 3 -Mujintou Ni Motteikiwasureta Ichimai-,2014,Rock,E:\Música\Telegram\RADWIMPS - Saidai Kouyakusuu.mp3
September San,RADWIMPS,Radwimps 3 -Mujintou Ni Motteikiwasureta Ichimai-,2014,Rock,E:\Música\Telegram\RADWIMPS - September San.mp3
Tokumeikibo,RADWIMPS,FOREVER DAZE,,,E:\Música\Telegram\RADWIMPS - Tokumeikibo.mp3
大団円 (feat. ZORN),RADWIMPS,大団円,2023-07-03,アジア音楽,E:\Música\Telegram\Radwimps_-_DAI-DAN-EN.mp3
La Leyenda Del Hada Y El Mago (1990 version),Rata Blanca,Poder Vivo,1990,,E:\Música\Telegram\Rata Blanca - La Leyenda del Hada y el Mago (1).mp3
Psycho Dreams (Hardstyle),Rougherz,Psycho Dreams (Hardstyle),,,E:\Música\Telegram\Rougherz - Psycho Dreams (Hardstyle).mp3
Be a flower,Ryokuoushoku Shakai,Be a flower,2023,Asian Music,E:\Música\Telegram\Ryokuoushoku Shakai - Be a flower.mp3
One More (feat. Hannah Fortune & lowstattic),S3RL,One More (feat. Hannah Fortune & lowstattic),2023-06-28,Electro,E:\Música\Telegram\S3RL - One More (feat. Hannah Fortune   lowstattic).flac
Rainbow Girl (Original Mix),S3RL,Remastered,,,E:\Música\Telegram\S3RL - Rainbow Girl (Original Mix).mp3
The Few and the Many,S3RL,The Few and the Many,,,E:\Música\Telegram\S3RL - The Few and the Many.mp3
It Went,S3RL feat JessKah,Bass Slut / It Went / Crazy Ass Bitch,2011,,E:\Música\Telegram\S3RL feat JessKah - It Went.mp3
Aoi,Sakanaction,魚図鑑,,,E:\Música\Telegram\Sakanaction - Aoi.mp3
新宝島,Sakanaction,834.194,,,E:\Música\Telegram\Sakanaction - 新宝島.mp3
Come Back,SOTAREKO  Korgi,Inhuman,2024-11-25,Electro,E:\Música\Telegram\SOTAREKO - Come Back.flac
Halcyon,SOTAREKO,HEARTLESS,2023-11-28,Electro,E:\Música\Telegram\SOTAREKO - Halcyon.flac
Heartless,SOTAREKO,HEARTLESS,2023-11-28,Electro,E:\Música\Telegram\SOTAREKO - Heartless.flac
Inhuman,SOTAREKO,Inhuman,2024-11-25,Electro,E:\Música\Telegram\SOTAREKO - Inhuman.flac
Intentions,SOTAREKO,Intentions,2023-07-27,Electro,E:\Música\Telegram\SOTAREKO - Intentions.flac
Lost,SOTAREKO,Crystal,2024-08-16,Electro,E:\Música\Telegram\SOTAREKO - Lost.flac
Loyal,SOTAREKO,Inhuman,2024-11-25,Electro,E:\Música\Telegram\SOTAREKO - Loyal.flac
Lust,SOTAREKO,HEARTLESS,2023-11-28,Electro,E:\Música\Telegram\SOTAREKO - Lust.flac
Nightscape,SOTAREKO,Cyber,2023-10-12,Electro,E:\Música\Telegram\SOTAREKO - Nightscape.flac
Hereafter (feat. shully),Srav3R,FÜGENE,2017-04-30,,E:\Música\Telegram\Srav3R - Hereafter (feat. shully).flac
Alone in a dead world,Steradlye,Alone in a Dead World,2021-03-01,Electro,E:\Música\Telegram\Steradlye - Alone in a dead world.mp3
Cyberneko,Steradlye,Moon and Back,2022-03-15,Electro/Dance,E:\Música\Telegram\Steradlye - Cyberneko.mp3
Deadly Summoning,Steradlye,Moon and Back,2022-03-15,Electro,E:\Música\Telegram\Steradlye - Deadly Summoning.mp3
Devilish Heart,Steradlye,Devilish Heart,2023-12-05,Electro,E:\Música\Telegram\Steradlye - Devilish Heart.flac
Euphony,Steradlye,Melodic Shelter,2025-02-18,Electro,E:\Música\Telegram\Steradlye - Euphony.mp3
Forget Me,Steradlye,Silent Presence,2021-11-04,Electro,E:\Música\Telegram\Steradlye - Forget Me.mp3
Game Start,Steradlye,Game Start,2024-12-27,Electro,E:\Música\Telegram\Steradlye - Game Start.flac
Hakai,Steradlye,Hakai,2024-02-17,Electro,E:\Música\Telegram\Steradlye - Hakai.mp3
Hell's Eyes,Steradlye,Scars,2023-01-26,Electro,E:\Música\Telegram\Steradlye - Hell s Eyes.mp3
Infinite Descent,Steradlye,Hakai,2024-02-17,Electro,E:\Música\Telegram\Steradlye - Infinite Descent.flac
Melodic Shelter,Steradlye,Melodic Shelter,2025-02-18,Electro,E:\Música\Telegram\Steradlye - Melodic Shelter.flac
Moon and back,Steradlye,Moon and Back,2022-03-15,Electro,E:\Música\Telegram\Steradlye - Moon and back.mp3
Nekos & Stuff,Steradlye,Nekos & Stuff,2023-05-16,Electro/Dance,E:\Música\Telegram\Steradlye - Nekos   Stuff.mp3
Regrets,Steradlye,Moon and Back,2022-03-15,Electro,E:\Música\Telegram\Steradlye - Regrets.mp3
Resonance,Steradlye,Silent Presence,2021-11-04,Electro,E:\Música\Telegram\Steradlye - Resonance.mp3
Time Traveler,Steradlye,What Keeps You Alive,2022-06-03,Electro/Dance,E:\Música\Telegram\Steradlye - Time Traveler.mp3
Back to You,SVRGE,Divide,2021-04-10,Dance,E:\Música\Telegram\SVRGE - Back to You.flac
Bittersweet,SVRGE,Bittersweet,2024-08-02,Electro,E:\Música\Telegram\SVRGE - Bittersweet.flac
Broken,SVRGE,Divide,2021-04-10,Dance,E:\Música\Telegram\SVRGE - Broken.flac
Confined,SVRGE,Divide,2021-04-10,Dance,E:\Música\Telegram\SVRGE - Confined.flac
Divide,SVRGE,Divide,2021-04-10,Dance,E:\Música\Telegram\SVRGE - Divide.flac
Eternal,SVRGE,Eternal,2021,Electro,E:\Música\Telegram\SVRGE - Eternal.mp3
Fall With Me,SVRGE,Fall With Me,2023-09-22,Electro,E:\Música\Telegram\SVRGE - Fall With Me.flac
Hades,SVRGE,Hades,2022-08-19,Electro,E:\Música\Telegram\SVRGE - Hades.flac
In The Dark,SVRGE,In The Dark,2023-12-29,Electro,E:\Música\Telegram\SVRGE - In The Dark.flac
Like That,SVRGE  CakeLife,Like That,2024-11-15,Electro,E:\Música\Telegram\SVRGE - Like That.flac
Lost,SVRGE,Divide,2021-04-10,Dance,E:\Música\Telegram\SVRGE - Lost.flac
